p_index,m_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,803.0,975.0,810.0,231.0,775.0,-0.007319999999759106,0.015910000000359775,0.1760399999930358,0.0014638000001226921,-0.0009410000000741592,-0.00042119999999948787
1,1,805.0,974.0,812.0,230.0,775.0,-0.005319999999759156,0.4359100000003596,0.13003999999302554,-0.030456199999877313,-0.0007810000000741678,-0.003879199999999485
1,2,805.0,973.0,813.0,229.0,775.0,-0.03331999999975926,0.9239100000003599,0.18603999999303591,-0.06877619999987736,-0.006641000000074149,-0.009859199999999482
1,3,799.0,971.0,813.0,227.0,776.0,-0.11731999999975971,1.4679100000003573,0.3670399999930531,-0.11171619999987734,-0.0028210000000741713,-0.01469519999999948
1,4,783.0,969.0,812.0,227.0,778.0,-0.12031999999975959,2.035910000000358,0.33603999999302,-0.1523161999998772,-0.00044100000007419465,-0.021104199999999494
1,5,755.0,968.0,811.0,226.0,779.0,-0.09731999999975967,2.5559100000003547,0.49203999999302195,-0.19553619999987762,0.0003389999999258435,-0.027266199999999494
1,6,718.0,966.0,809.0,223.0,779.0,-0.06631999999975974,3.165910000000359,0.47203999999304647,-0.23295619999987732,-0.0005610000000741491,-0.03381819999999947
1,7,676.0,961.0,807.0,219.0,778.0,-0.11131999999975958,3.732910000000353,-0.09096000000696333,-0.2775761999998771,-0.0038210000000741665,-0.04008419999999953
1,8,635.0,953.0,806.0,214.0,778.0,-0.09331999999975968,4.262910000000359,-0.07996000000695398,-0.325636199999877,0.00021899999992579876,-0.04469919999999943
1,9,602.0,943.0,805.0,208.0,777.0,-0.06631999999975967,4.865910000000355,0.1420399999930168,-0.3745961999998772,-0.0004810000000741606,-0.051927199999999465
1,10,578.0,929.0,802.0,201.0,775.0,-0.03631999999975968,5.526910000000361,0.1180399999930228,-0.419456199999877,0.0016789999999258047,-0.059896199999999504
2,0,795.0,975.0,807.0,229.0,777.0,0.016680000000241,0.003910000000359637,0.14403999999305248,-0.0001361999998773028,0.0007789999999258281,-0.0005901999999994866
2,1,797.0,974.0,810.0,229.0,776.0,-0.019319999999759634,0.18491000000035943,0.14803999999301015,-0.009196199999877289,-0.0038410000000741844,-0.002150199999999486
2,2,801.0,972.0,814.0,227.0,776.0,-0.12431999999975968,0.6379100000003597,0.22203999999304538,-0.04467619999987716,-0.005641000000074171,-0.006986199999999484
2,3,801.0,970.0,816.0,224.0,776.0,-0.15231999999975962,1.1269100000003593,0.6010399999930334,-0.07819619999987751,-0.012441000000074207,-0.011510199999999492
2,4,800.0,968.0,816.0,221.0,776.0,-0.26631999999976014,1.6989100000003596,0.3840399999930481,-0.12837619999987723,-0.014561000000074204,-0.018296199999999516
2,5,792.0,960.0,815.0,216.0,777.0,-0.24231999999975906,2.2209100000003588,0.2530399999930259,-0.1702761999998772,-0.0160410000000742,-0.022859199999999507
2,6,780.0,949.0,813.0,209.0,777.0,-0.2833199999997599,2.7689100000003606,0.412039999993031,-0.20823619999987733,-0.022801000000074192,-0.029242199999999514
2,7,764.0,934.0,807.0,202.0,776.0,-0.33631999999976103,3.3439100000003523,0.3060399999930351,-0.253016199999877,-0.02786100000007418,-0.03654819999999947
2,8,743.0,910.0,800.0,193.0,776.0,-0.41631999999976094,3.925910000000366,0.36303999999302894,-0.30177619999987754,-0.026561000000074244,-0.04124119999999947
2,9,716.0,870.0,789.0,182.0,774.0,-0.396319999999761,4.5369100000003595,0.5530399999930441,-0.35329619999987744,-0.028041000000074208,-0.047624199999999506
2,10,688.0,816.0,767.0,170.0,772.0,-0.48631999999976044,5.1729100000003605,0.6930399999930439,-0.3990361999998774,-0.030301000000074182,-0.05433219999999944
3,0,798.0,973.0,807.0,228.0,776.0,-0.009319999999759195,-0.03508999999964061,0.3280399999930293,0.008063800000122707,0.0012589999999258197,4.680000000051307e-05
3,1,799.0,972.0,812.0,226.0,776.0,-0.02831999999975954,0.13091000000035938,0.6150399999930485,-0.003236199999877316,-0.0027010000000741784,-0.0023321999999994865
3,2,799.0,972.0,818.0,221.0,775.0,-0.10631999999975969,0.4429100000003598,0.33203999999304173,-0.028336199999877215,-0.004221000000074188,-0.003827199999999485
3,3,800.0,971.0,819.0,213.0,775.0,-0.13831999999975966,0.9199100000003599,0.14003999999301747,-0.06563619999987731,-0.008601000000074192,-0.007051199999999484
3,4,801.0,962.0,816.0,202.0,774.0,-0.19631999999975924,1.3849100000003596,0.4800399999930482,-0.09985619999987741,-0.010921000000074189,-0.010327199999999493
3,5,800.0,948.0,803.0,190.0,775.0,-0.24731999999975898,1.8649100000003584,0.3260399999930448,-0.14653619999987721,-0.01668100000007421,-0.014227199999999485
3,6,799.0,927.0,785.0,176.0,775.0,-0.2803199999997596,2.415910000000359,0.39403999999303474,-0.17935619999987712,-0.021941000000074217,-0.01806219999999951
3,7,796.0,892.0,757.0,161.0,774.0,-0.34631999999976054,2.9639100000003573,0.2660399999930199,-0.2249761999998774,-0.0253410000000742,-0.023301199999999515
3,8,790.0,845.0,700.0,144.0,773.0,-0.387319999999761,3.5249100000003617,0.3440399999930423,-0.2668161999998768,-0.03144100000007422,-0.028098199999999546
3,9,782.0,770.0,604.0,125.0,772.0,-0.4733199999997609,4.069910000000357,0.7870399999930354,-0.31763619999987724,-0.0317010000000742,-0.03351919999999952
3,10,770.0,652.0,464.0,107.0,769.0,-0.5163199999997607,4.706910000000356,0.7760399999930335,-0.361236199999877,-0.035441000000074205,-0.03762719999999955
4,0,795.0,971.0,808.0,225.0,775.0,-0.01731999999975939,-0.016089999999640413,0.03203999999301339,0.006243800000122735,0.0004589999999257937,0.0003198000000005143
4,1,795.0,972.0,814.0,223.0,775.0,0.009680000000241036,0.1209100000003594,-0.005960000006990628,0.00018380000012269354,-0.005101000000074152,-0.0012661999999994864
4,2,795.0,973.0,823.0,211.0,774.0,-0.07531999999975963,0.40291000000036015,0.645039999993021,-0.025216199999877228,-0.003341000000074184,-0.0007721999999994863
4,3,796.0,973.0,817.0,192.0,774.0,-0.07831999999975965,0.80291000000036,0.27703999999303497,-0.053056199999877166,-0.008761000000074175,-0.0031641999999994855
4,4,796.0,966.0,795.0,171.0,773.0,-0.10731999999975965,1.2149100000003596,0.4040399999930298,-0.08505619999987736,-0.009901000000074153,-0.005283199999999484
4,5,796.0,951.0,767.0,147.0,773.0,-0.16731999999975933,1.6969100000003574,0.20403999999301597,-0.12615619999987715,-0.011001000000074177,-0.008494199999999483
4,6,795.0,930.0,703.0,120.0,772.0,-0.17131999999975936,2.1369100000003582,0.21403999999304907,-0.16335619999987733,-0.0128210000000742,-0.009456199999999498
4,7,792.0,893.0,590.0,93.0,771.0,-0.20931999999975917,2.707910000000361,0.19603999999302588,-0.20359619999987733,-0.016481000000074186,-0.013148199999999494
4,8,790.0,835.0,435.0,74.0,770.0,-0.1973199999997591,3.261910000000357,0.20303999999302372,-0.24867619999987706,-0.020461000000074166,-0.013993199999999494
4,9,787.0,741.0,274.0,58.0,767.0,-0.3113199999997606,3.7639100000003536,0.37303999999304094,-0.29443619999987736,-0.022761000000074184,-0.015566199999999489
4,10,785.0,602.0,142.0,48.0,764.0,-0.3453199999997611,4.322910000000363,0.7440399999930429,-0.34155619999987785,-0.025321000000074163,-0.01686619999999951
5,0,794.0,971.0,806.0,220.0,775.0,0.02368000000024108,-8.999999964029231e-05,-0.2499600000069872,0.004183800000122654,-0.0022010000000741796,0.0008268000000005132
5,1,795.0,972.0,814.0,216.0,775.0,-0.005319999999759305,0.11491000000035947,-0.027960000006955837,-0.001956199999877311,-0.004801000000074176,0.00013780000000051303
5,2,794.0,973.0,822.0,187.0,774.0,0.009680000000240885,0.3889100000003598,-0.1649600000069641,-0.025676199999877185,-0.001921000000074211,0.0019708000000005117
5,3,795.0,973.0,812.0,150.0,774.0,-0.039319999999759436,0.74691000000036,0.17103999999303596,-0.05317619999987724,-0.006401000000074159,0.0006968000000005131
5,4,795.0,974.0,788.0,109.0,773.0,-0.05631999999975984,1.2069100000003605,0.27803999999302603,-0.08415619999987707,-0.008221000000074178,0.0006578000000005135
5,5,796.0,970.0,747.0,75.0,772.0,-0.10831999999975964,1.6479100000003588,0.22403999999301247,-0.12161619999987727,-0.007941000000074175,-0.0012791999999994864
5,6,796.0,960.0,648.0,55.0,772.0,-0.11931999999975967,2.0659100000003576,0.29903999999304237,-0.15725619999987722,-0.008101000000074184,-0.001123199999999486
5,7,795.0,943.0,502.0,45.0,770.0,-0.11031999999975964,2.6059100000003625,0.28503999999301366,-0.19535619999987766,-0.008541000000074158,-0.0005251999999994865
