n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
1,0,119.0,630.0,763.0,725.0,103.0,-0.059840000000082036,3.0001999999987143,0.7368799999961274,-0.2827910000000665,0.0023315999998640745,-0.0011469899999996512
1,1,119.0,595.0,739.0,713.0,103.0,-0.02584000000008179,2.7241999999987185,0.7738799999960825,-0.24839100000006634,0.0019115999998640947,-0.0005749899999996486
1,2,119.0,557.0,722.0,705.0,103.0,-0.059840000000082154,2.6281999999987202,0.767879999996112,-0.23995100000006672,0.002911599999864067,-0.0013939899999996512
1,3,119.0,538.0,706.0,703.0,103.0,-0.0428400000000821,2.421199999998714,0.5848799999960913,-0.21769100000006641,9.159999986406173e-05,-0.0008869899999996481
1,4,118.0,536.0,635.0,684.0,102.0,-0.057840000000082006,2.6221999999987147,0.6188799999960665,-0.24227100000006632,0.002251599999864113,-0.0014329899999996497
1,5,120.0,489.0,432.0,639.0,102.0,-0.04984000000008206,2.440199999998715,1.2608799999961045,-0.2273110000000666,-0.0019684000001359285,-1.598999999964889e-05
1,6,121.0,338.0,258.0,515.0,103.0,-0.09784000000008229,2.5041999999987166,1.2868799999961162,-0.23019100000006626,-0.000148400000135939,-0.0012509899999996515
1,7,125.0,212.0,239.0,378.0,105.0,-0.13284000000008195,2.328199999998717,1.017879999996099,-0.20809100000006603,-0.0025884000001359007,-0.0021999899999996532
1,8,128.0,137.0,166.0,257.0,106.0,-0.17584000000008168,2.4931999999987133,0.992879999996106,-0.20849100000006593,-0.0064684000001359035,-0.0025119899999996556
1,9,130.0,129.0,166.0,240.0,106.0,-0.14384000000008185,2.507199999998714,0.660879999996103,-0.20231100000006647,-0.006748400000135924,-0.002628989999999652
1,10,132.0,102.0,116.0,217.0,107.0,-0.12184000000008213,2.465199999998715,0.4348799999961201,-0.18257100000006649,-0.0075684000001359185,-0.0011599899999996518
2,0,124.0,639.0,778.0,728.0,106.0,-0.055840000000082046,2.841199999998715,0.6558799999960996,-0.27007100000006584,0.003311599999864059,-0.0012639899999996485
2,1,124.0,596.0,748.0,717.0,106.0,-0.014840000000081701,2.5491999999987165,0.6088799999960965,-0.23615100000006684,0.0037515999998640913,0.00032201000000035113
2,2,124.0,552.0,728.0,708.0,105.0,-0.04984000000008215,2.5211999999987134,0.6718799999960569,-0.23051100000006639,0.005671599999864056,-0.0008869899999996487
2,3,124.0,537.0,709.0,704.0,105.0,-0.05684000000008187,2.341199999998717,0.4798799999960812,-0.20927100000006657,0.0030315999998640547,-0.0008479899999996481
2,4,122.0,537.0,640.0,682.0,104.0,-0.06184000000008194,2.5141999999987132,0.5898799999961215,-0.23051100000006639,0.0038915999998640444,-0.0012769899999996524
2,5,123.0,492.0,436.0,638.0,104.0,-0.08884000000008174,2.368199999998716,0.7918799999960626,-0.22307100000006652,-0.0003084000001359238,-0.00204398999999965
2,6,124.0,339.0,261.0,517.0,104.0,-0.1028400000000823,2.387199999998716,0.9838799999960849,-0.2227910000000665,-0.001408400000135938,-0.0015629899999996507
2,7,128.0,216.0,244.0,388.0,106.0,-0.11684000000008214,2.2831999999987147,0.5458799999960985,-0.20505100000006612,-0.0015684000001359181,-0.002186989999999651
2,8,130.0,142.0,170.0,262.0,107.0,-0.13184000000008184,2.475199999998715,0.005879999996127475,-0.21131100000006672,-0.004988400000135941,-0.002719989999999651
2,9,132.0,133.0,168.0,243.0,107.0,-0.144840000000082,2.486199999998712,0.27187999999610685,-0.19729100000006622,-0.005728400000135926,-0.0023559899999996523
2,10,134.0,105.0,116.0,219.0,108.0,-0.11884000000008196,2.4431999999987135,-0.3661200000038993,-0.18511100000006625,-0.0065684000001359245,-0.002056989999999654
3,0,126.0,635.0,779.0,726.0,107.0,-0.05784000000008201,2.8071999999987174,-0.26112000000388474,-0.2693110000000661,0.004111599999864094,-0.00023698999999964803
3,1,126.0,593.0,749.0,716.0,106.0,-0.04184000000008196,2.5171999999987142,0.28387999999612024,-0.23753100000006652,0.0018515999998640704,-0.00019798999999964868
3,2,125.0,551.0,728.0,708.0,105.0,-0.032840000000082,2.464199999998715,0.25987999999611944,-0.23147100000006632,0.0031315999998640987,0.00019201000000035112
3,3,125.0,537.0,709.0,703.0,105.0,-0.018840000000081798,2.2781999999987166,0.28787999999609715,-0.2141910000000662,0.002411599999864088,-0.0007049899999996484
3,4,124.0,537.0,643.0,682.0,104.0,-0.05784000000008211,2.478199999998714,0.25287999999611416,-0.23259100000006652,0.0017715999998641084,-0.0012899899999996545
3,5,125.0,493.0,441.0,638.0,105.0,-0.08784000000008198,2.387199999998717,0.19687999999610367,-0.22345100000006649,-0.00046840000013591147,-0.0017059899999996506
3,6,126.0,340.0,264.0,519.0,105.0,-0.10584000000008194,2.3671999999987174,1.1538799999960838,-0.22237100000006607,-0.004508400000135926,-0.00106898999999965
3,7,129.0,219.0,249.0,391.0,106.0,-0.10384000000008231,2.267199999998717,0.347879999996113,-0.2046310000000664,-0.00802840000013592,-0.00130298999999965
3,8,131.0,144.0,174.0,265.0,107.0,-0.15084000000008177,2.4541999999987123,0.6928799999961134,-0.2092310000000662,-0.005728400000135952,-0.001887989999999651
3,9,133.0,134.0,170.0,245.0,107.0,-0.13884000000008193,2.4551999999987135,0.4748799999961037,-0.19911100000006632,-0.005948400000135938,-0.0019009899999996526
3,10,135.0,106.0,116.0,222.0,108.0,-0.11884000000008221,2.4191999999987157,0.04387999999609859,-0.18907100000006602,-0.007348400000135913,-0.0026419899999996534
4,0,128.0,634.0,779.0,726.0,107.0,-0.05884000000008218,2.8051999999987167,0.21387999999612012,-0.26571100000006614,0.0006715999998640714,-0.0008219899999996507
4,1,127.0,592.0,749.0,715.0,106.0,-0.030840000000082045,2.4941999999987146,-0.011120000003889994,-0.23879100000006626,0.002411599999864078,-0.001991989999999652
4,2,126.0,551.0,728.0,707.0,105.0,-0.00984000000008152,2.459199999998714,0.019879999996087503,-0.22901100000006658,0.00303159999986409,0.0005950100000003507
4,3,126.0,537.0,709.0,703.0,105.0,0.015159999999918582,2.2801999999987186,-0.16712000000389146,-0.21487100000006623,0.000451599999864071,0.000270010000000351
4,4,125.0,538.0,643.0,681.0,105.0,-0.04384000000008195,2.4311999999987144,0.3098799999960842,-0.23143100000006622,9.159999986406181e-05,-6.798999999964889e-05
4,5,125.0,494.0,444.0,638.0,105.0,-0.08384000000008218,2.365199999998717,0.7938799999960932,-0.22109100000006682,-6.840000013593091e-05,-0.0006659899999996487
